Zip Code,Country Code,Weather Date,min,max
46032,us,2019-09-16 00:00:00,295.412,296.19
46032,us,2019-09-17 00:00:00,295.819,295.819
46032,us,2019-09-18 00:00:00,293.905,293.905
46032,us,2019-09-19 00:00:00,292.781,292.781
46032,us,2019-09-20 00:00:00,294.407,294.407
48084,us,2019-09-16 00:00:00,294.312,294.87
48084,us,2019-09-17 00:00:00,293.619,293.619
48084,us,2019-09-18 00:00:00,292.205,292.205
48084,us,2019-09-19 00:00:00,292.881,292.881
48084,us,2019-09-20 00:00:00,294.907,294.907
20004,us,2019-09-16 00:00:00,293.712,294.7
20004,us,2019-09-17 00:00:00,297.919,297.919
20004,us,2019-09-18 00:00:00,292.305,292.305
20004,us,2019-09-19 00:00:00,290.481,290.481
20004,us,2019-09-20 00:00:00,289.707,289.707
20009,us,2019-09-16 00:00:00,293.712,294.69
20009,us,2019-09-17 00:00:00,297.919,297.919
20009,us,2019-09-18 00:00:00,292.305,292.305
20009,us,2019-09-19 00:00:00,290.481,290.481
20009,us,2019-09-20 00:00:00,289.707,289.707
66223,us,2019-09-16 00:00:00,301.012,301.46
66223,us,2019-09-17 00:00:00,299.919,299.919
66223,us,2019-09-18 00:00:00,299.905,299.905
66223,us,2019-09-19 00:00:00,300.181,300.181
66223,us,2019-09-20 00:00:00,299.507,299.507
94105,us,2019-09-16 00:00:00,292.412,292.61
94105,us,2019-09-17 00:00:00,291.819,291.819
94105,us,2019-09-18 00:00:00,292.005,292.005
94105,us,2019-09-19 00:00:00,291.381,291.381
94105,us,2019-09-20 00:00:00,293.507,293.507
22201,us,2019-09-16 00:00:00,293.712,294.69
22201,us,2019-09-17 00:00:00,297.919,297.919
22201,us,2019-09-18 00:00:00,292.305,292.305
22201,us,2019-09-19 00:00:00,290.481,290.481
22201,us,2019-09-20 00:00:00,289.707,289.707
0,us,Sun Sep 15 2019 19:50:59 GMT+0530 (India Standard Time),N/A,N/A
10001,us,2019-09-16 00:00:00,290.812,292.12
10001,us,2019-09-17 00:00:00,290.619,290.619
10001,us,2019-09-18 00:00:00,286.805,286.805
10001,us,2019-09-19 00:00:00,286.381,286.381
10001,us,2019-09-20 00:00:00,286.307,286.307
Abide,us,Sun Sep 15 2019 19:51:00 GMT+0530 (India Standard Time),N/A,N/A
